run,variant,n,error_rate,aurc,aurc_confidence_only,delta_aurc_vs_C,delta_ci_low,delta_ci_high,beats_C,beats_C_ci_excludes_0,source,AURC_variant,AURC_confidence,dAURC_vs_C,ci_low,ci_high,p_boot,beats_C_CI_excludes_0
gram|F48,confidence only,2500,0.3316,0.25411,0.25411,0.0,0.0,0.0,False,False,revision-6 external AURC gate,,,,,,,
gram|F48,DTS stratum-routed (2A),2500,0.3316,0.25748,0.25411,0.00337,-0.00234,0.01328,False,False,revision-6 external AURC gate,,,,,,,
gram|F48,DTS prior-corrected (2B),2500,0.3316,0.25856,0.25411,0.00444,0.00293,0.01316,False,False,revision-6 external AURC gate,,,,,,,
gram|F48,DTS global logistic_2f (rev 5),2500,0.3316,0.25854,0.25411,0.00443,0.00104,0.01304,False,False,revision-6 external AURC gate,,,,,,,
gram|F69-R-v3,confidence only,2500,0.3128,0.20714,0.20714,0.0,0.0,0.0,False,False,revision-6 external AURC gate,,,,,,,
gram|F69-R-v3,DTS stratum-routed (2A),2500,0.3128,0.21725,0.20714,0.01011,0.00595,0.01592,False,False,revision-6 external AURC gate,,,,,,,
gram|F69-R-v3,DTS prior-corrected (2B),2500,0.3128,0.21612,0.20714,0.00899,0.00523,0.01491,False,False,revision-6 external AURC gate,,,,,,,
gram|F69-R-v3,DTS global logistic_2f (rev 5),2500,0.3128,0.21166,0.20714,0.00452,-0.00013,0.00996,False,False,revision-6 external AURC gate,,,,,,,
phresh|F48,confidence only,2500,0.3112,0.25858,0.25858,0.0,0.0,0.0,False,False,revision-6 external AURC gate,,,,,,,
phresh|F48,DTS stratum-routed (2A),2500,0.3112,0.26656,0.25858,0.00798,-0.00163,0.01474,False,False,revision-6 external AURC gate,,,,,,,
phresh|F48,DTS prior-corrected (2B),2500,0.3112,0.26671,0.25858,0.00814,-0.00025,0.01402,False,False,revision-6 external AURC gate,,,,,,,
phresh|F48,DTS global logistic_2f (rev 5),2500,0.3112,0.26554,0.25858,0.00696,-0.00137,0.0129,False,False,revision-6 external AURC gate,,,,,,,
phresh|F69-R-v3,confidence only,2500,0.3036,0.25889,0.25889,0.0,0.0,0.0,False,False,revision-6 external AURC gate,,,,,,,
phresh|F69-R-v3,DTS stratum-routed (2A),2500,0.3036,0.27825,0.25889,0.01936,0.0053,0.02441,False,False,revision-6 external AURC gate,,,,,,,
phresh|F69-R-v3,DTS prior-corrected (2B),2500,0.3036,0.26503,0.25889,0.00614,-0.00226,0.01257,False,False,revision-6 external AURC gate,,,,,,,
phresh|F69-R-v3,DTS global logistic_2f (rev 5),2500,0.3036,0.26423,0.25889,0.00534,-0.00313,0.01153,False,False,revision-6 external AURC gate,,,,,,,
gram|F48,DTS_PRIOR (4.1 default),2500,,,,,,,False,,revision-7 external AURC gate,0.26247,0.2555,0.00697,-0.00105,0.0132,0.102,False
gram|F48,DTS_DECILE (4.2),2500,,,,,,,False,,revision-7 external AURC gate,0.2561,0.2555,0.00059,-0.00287,0.00239,0.946,False
gram|F48,DTS_2f (revision 6),2500,,,,,,,False,,revision-7 external AURC gate,0.25669,0.2555,0.00118,-0.00624,0.00871,0.77,False
gram|F69-R-v3,DTS_PRIOR (4.1 default),2500,,,,,,,False,,revision-7 external AURC gate,0.21647,0.20714,0.00933,0.00355,0.01614,0.002,False
gram|F69-R-v3,DTS_DECILE (4.2),2500,,,,,,,False,,revision-7 external AURC gate,0.20847,0.20714,0.00133,-0.0003,0.00265,0.138,False
gram|F69-R-v3,DTS_2f (revision 6),2500,,,,,,,False,,revision-7 external AURC gate,0.21415,0.20714,0.00701,0.0038,0.0137,0.0,False
phresh|F48,DTS_PRIOR (4.1 default),2500,,,,,,,False,,revision-7 external AURC gate,0.26559,0.25876,0.00683,-0.00176,0.01462,0.132,False
phresh|F48,DTS_DECILE (4.2),2500,,,,,,,False,,revision-7 external AURC gate,0.26018,0.25876,0.00142,-0.0029,0.0042,0.618,False
phresh|F48,DTS_2f (revision 6),2500,,,,,,,False,,revision-7 external AURC gate,0.27189,0.25876,0.01313,-0.00171,0.01628,0.118,False
phresh|F69-R-v3,DTS_PRIOR (4.1 default),2500,,,,,,,True,,revision-7 external AURC gate,0.25797,0.25889,-0.00092,-0.00532,0.00638,0.9,False
phresh|F69-R-v3,DTS_DECILE (4.2),2500,,,,,,,False,,revision-7 external AURC gate,0.25901,0.25889,0.00011,-0.00121,0.00268,0.318,False
phresh|F69-R-v3,DTS_2f (revision 6),2500,,,,,,,False,,revision-7 external AURC gate,0.26084,0.25889,0.00195,-0.00168,0.01365,0.134,False
