claim_id,claim,evidence,status,allowed_paper_wording,prohibited_overclaim
C1,"Dataset-origin shift is substantial: the two corpora are strongly separable from URL structure alone, so cross-corpus evaluation represents genuine distribution shift (not label leakage).","origin ROC-AUC 0.9200 (F48) / 0.9291 (F69-R-v3), n=40,000 per corpus TRAIN; top discriminator R_is_https",SUPPORTED,"the corpora are highly distinguishable from URL structure alone, which bounds any source-trained detector and motivates the domain-unseen protocol",dataset-origin separability implies label leakage; or that removing top features would 'fix' the shift
C2,A label-free domain-invariant representation can reduce source-identifying signal.,selected 15-feature block: max normalised Wasserstein 0.1341 (<= 0.15); block domain-classifier AUC 0.6757 -> 0.5501 (target <= 0.60),SUPPORTED,the selected feature block has substantially reduced domain-identifying signal,the representation is fully domain invariant; the datasets are interchangeable after projection
C3,UDA improves cross-corpus discrimination.,"M7 vs M0 strict-external ROC-AUC: G->P 0.7712 -> 0.8739; P->G 0.7430 -> 0.8243; M7 uses unlabeled target TRAIN only (word expert + fusion + 2 self-training rounds, source-VAL guard)",SUPPORTED,unsupervised domain adaptation materially improves bidirectional cross-corpus ranking,M7 is zero-shot; UDA solves cross-corpus transfer; target labels were used
C4,ERS predicts held-out explanation stability.,"Test A significant on all four run configurations (in-domain and external, Holm-adjusted); pre-fit ERS-target gate rho(E0, y_rel) > 0.10 on 3/4 runs (phresh|F69-R-v3 = 0.0691 below the 0.10 bar)",SUPPORTED across most evaluated runs (target-construction gate 3/4),ERS is associated with held-out explanation stability across most evaluated configurations,ERS universally predicts explanation stability on every run configuration
C5,ERS adds correctness information beyond confidence.,"pre-registered in-domain LRT (Error ~ C vs Error ~ C + ERS + CxERS): p_holm = 0.363 (gram|F69-R-v3), 1.0 (phresh|F69-R-v3); external associations are significant but reflect the reliability/correctness divergence, and do not translate into decision value",NOT SUPPORTED,ERS did not provide statistically supported incremental information about classification correctness beyond calibrated confidence under the preregistered model,ERS improves classification; ERS is a better uncertainty estimate; the in-domain negative result should be hidden behind the external association
C6,DTS improves selective classification risk over confidence.,0/12 external DTS variant-run cells beat confidence with the 95% paired-bootstrap CI excluding 0; gram|F69-R-v3 AURC 0.20714 (confidence) vs 0.21166 (DTS); phresh|F69-R-v3 0.25889 vs 0.26423,NOT SUPPORTED,calibrated confidence remained the stronger signal for selective classification risk in the evaluated external settings,DTS improves decision-making; a localized/stratum win generalises to a global claim
C7,Explanation reliability and prediction correctness can diverge (high-confidence/low-ERS does not reliably imply high classification risk).,"external error rates in the high-confidence stratum are LOWER for low-ERS than for high-ERS on all 4 external runs (e.g. gram|F48: 0.0305 vs 0.5614; Fisher OR 0.025), the reversal survives conditioning on class, while low-ERS still means less stable explanations (mean S_challenge 0.73-0.86 vs 0.81-0.93)",SUPPORTED / OBSERVED REVERSAL (negative finding),explanation reliability and prediction correctness are distinct properties that can diverge; a stable explanation can accompany an incorrect prediction,high-confidence/low-ERS always indicates a dangerous prediction; low-ERS implies safe predictions
C8,Calibration degrades under temporal shift.,gram|F69-R-v3 strict-external ECE 0.0716 (2025Q3) -> 0.2497 (2025Q4) with ROC-AUC flat (0.7630 -> 0.7696); phishing prevalence 14.4% -> 57.0% (co-occurring prevalence shift; two adequately-powered quarters),SUPPORTED (with prevalence confound noted),calibration deteriorates substantially under temporal shift while ranking is comparatively stable,the degradation is purely temporal; it generalises beyond two quarters or beyond the gram->phresh direction
C9,All robustness transformations are stable.,"P3 dot-segment max flip 57.45% baseline -> 56.90% augmented -> 40.25% revision-7 repaired (criterion 15%); P5/P6/P7 max flip 14.95% after augmentation (within criterion); RFC 3986 canonicalisation neutralises P3 (~0% flip) but degenerates the ERS target, so it is not enabled",NOT SUPPORTED (P3 remains a representation-level sensitivity),robustness is incomplete: P5/P6/P7 are within the criterion after repair; P3 remains a known limitation of the raw URL representation,the robustness problem has been solved; canonicalisation should be globally enabled without cost
C10,F54-R representation repair conclusively improves strict-external transfer over F48.,"resolved at paper lock from the executed paired DeLong comparison: G->P dAUC -0.00194 [-0.00238, -0.00150]; P->G dAUC -0.00467 [-0.00521, -0.00413] (both CIs exclude 0, negative)",NOT SUPPORTED (was reported 'unavailable' due to a lookup bug; now computed from cached results),representation repair did not improve strict-external transfer; the effect is small and positive in-domain but significantly negative externally,F54-R improves external transfer; the 'unavailable' verdict should be kept despite recoverable evidence
