phase,criterion,result,numerical_evidence,interpretation,paper_role
FOUNDATION,"leakage-resistant dataset layer: provenance, checksums, label audit, URL-quality audit, exact/canonical dedup, domain-disjoint split, strict + natural external views, compatibility gate",PASSED,"Gram 799,565 / Phresh 666,300 rows after cleaning; strict external n = 126,116 (G->P) / 118,390 (P->G); contamination removed from natural view 24.96% / 1.29%; P0 gate 21/21; 238/238 sanity checks",the evaluation substrate is auditable and domain-unseen; supports Contribution 1,primary methodological contribution (evaluation foundation)
REPRESENTATION,domain-invariant block: max normalised Wasserstein <= 0.15 and block domain-classifier AUC <= 0.60 (pinned Phase-1 gate),PASSED,F69-R-v3 = F54-R (54) + 15 domain-invariant = 69 features; max W = 0.1341 (<= 0.15); block domain AUC 0.6757 -> 0.5501 (target <= 0.60); promoted,the selected feature block has substantially reduced domain-identifying signal; this does NOT make the corpora identical (full-representation origin AUC stays high),supports Contribution 2 (representation-level domain adaptation)
TRANSFER (UDA),strict-external ROC-AUC >= 0.80 for at least one zero-shot/UDA model in BOTH directions (pinned Gate 2; changelog: tightened any->both in rev 7),PASSED,"M7 (UDA): G->P 0.8739 [95% boot 0.8721, 0.8758], P->G 0.8243 [95% boot 0.8221, 0.8266]; M0 zero-shot baseline: G->P 0.7712, P->G 0.7430; M6: 0.8297 / 0.8139","UDA (unlabeled target TRAIN + word expert/fusion + self-training, no target VAL/TEST labels) materially improves cross-corpus ranking in both directions",primary positive result (Contribution 2)
SEMI-SUPERVISED (Gate 3),best semi-supervised multi-source strict-external ACCURACY >= 0.95 in BOTH directions (pinned Gate 3),FAILED (near-threshold in one direction),"G->P best 0.9438 (M2h multi-source hybrid (target-val tuned), n=126,116) vs 0.95; P->G best 0.9558 (M2s multi-source stacked text (target-val tuned), n=118,390)","one direction narrowly misses 95%; this is a semi-supervised target-adaptation benchmark (uses target TRAIN labels + target VAL selection), NOT a zero-shot/UDA claim","secondary supporting result, reported as near-threshold"
ROBUSTNESS (Gate 4),P3 AND P5/P6/P7 prediction-flip rate <= 15% for at least one repaired variant (pinned Gate 4),FAILED,P3 dot-segment max flip: 57.45% baseline -> 56.90% augmented -> 40.25% revision-7 repaired (never <= 15%); P5/P6/P7 max flip: 55.80% baseline -> 14.95% augmented (within 15%),"P5/P6/P7 are repairable; P3 is a persistent raw-representation sensitivity. RFC 3986 canonicalisation neutralises P3 mechanically (~0% flip) but degenerates the ERS reliability target (y_rel constant), so it is NOT enabled globally; P3 is retained as an honest limitation",honest negative/limitation result
ERS TARGET (Gate 5),"cross-family rho(E0, y_rel) > 0.10 on >= 3 of 4 runs (pinned Phase-5 gate)",PASSED (3/4 runs),"rho(E0, y_rel) by run: gram|F48=0.3563, gram|F69-R-v3=0.3605, phresh|F48=0.2907, phresh|F69-R-v3=0.0691","the redesigned non-circular target (0.5*held-out challenge stability + 0.5*calibration-family stability, P1/P2 removed) is learnable on most but not all run configurations; the failing configuration (phresh|F69-R-v3) is reported, not hidden","methodological result, mixed and reported honestly"
ERS vs CONFIDENCE (Test A),"ERS predicts held-out explanation stability: Spearman(ERS, S_challenge) > 0 with Holm-adjusted p < alpha",SUPPORTED across most evaluated configurations,"test rho: gram|F48=+0.3715, gram|F69-R-v3=+0.4232, phresh|F48=+0.5100, phresh|F69-R-v3=+0.1861; external rho: gram|F48=+0.3212, gram|F69-R-v3=+0.3697, phresh|F48=+0.4489, phresh|F69-R-v3=+0.3052; all Holm-significant; ERS beats confidence on 4/4 external runs","ERS carries information about explanation stability, and is the stronger predictor of held-out explanation stability on the evaluated external runs (confidence is stronger in-domain on 2 of 4 runs)",primary positive result (Contribution 3)
ERS CORRECTNESS INCREMENT (Test B),ERS carries information beyond confidence about correctness: LRT (Error ~ C vs Error ~ C + ERS + CxERS) Holm-adjusted p < alpha on the in-domain test sample,NOT SUPPORTED (pre-registered in-domain model),"LRT p_holm: gram|F69-R-v3 LRT=6.815, p_holm=0.363, phresh|F69-R-v3 LRT=0.345, p_holm=1","ERS did not provide statistically supported incremental information about classification correctness beyond calibrated confidence under the preregistered model; external associations exist but track the reliability/correctness divergence (reversal), not decision value",central negative result (defines the paper's framing)
DTS (Gate 6),"DTS AURC < confidence AURC with the 95% paired-bootstrap CI of the difference entirely below 0 on EVERY external run (all-pairs, never any-pair)",NOT SUPPORTED,0/12 external DTS cells beat confidence with CI excluding 0; gram|F69-R-v3 conf AURC 0.20714 vs DTS 0.21166; phresh|F69-R-v3 conf 0.25889 vs DTS 0.26423,calibrated confidence remained the stronger signal for selective classification risk in the evaluated external settings; the gate was not loosened and the negative result is kept,central negative result (defines the paper's framing)
TEMPORAL,"report calibration behaviour under temporal shift (pre-registered supporting analysis; PhreshPhish temporal slices, date never a feature)",DEGRADATION OBSERVED (reported),gram|F69-R-v3 strict-external: ECE 0.0716 (2025Q3) -> 0.2497 (2025Q4) while ROC-AUC 0.7630 -> 0.7696; phishing prevalence 14.4% -> 57.0% (confound: prevalence shift),"calibration deteriorates substantially under temporal shift while ranking is stable; only two adequately-powered quarters exist, so this is directional evidence",supporting result (motivates recalibration under deployment shift)
CRITERION E (representation repair),external ROC-AUC (F54-R) > external ROC-AUC (F48) with a DeLong 95% CI excluding 0 (pre-registered),NOT SUPPORTED,"GramBeddings: dAUC -0.00194 [-0.00238, -0.00150], p=0, n=126,116; PhreshPhish: dAUC -0.00467 [-0.00521, -0.00413], p=0, n=118,390",resolved at paper lock from the executed paired DeLong comparison (the Section-48 'unavailable' was a lookup bug): representation repair does NOT improve strict-external transfer; both CIs exclude zero in the negative direction,"negative result, now evaluable and reported"
REPRODUCIBILITY,"checksums, split integrity, no target-TEST labels in any fit/tune/calibrate/threshold step, 238 sanity checks, manifest",PASSED,238/238 executed sanity checks passed; dataset SHA-256 verified against the recorded provenance audit; seed 42; manifest revision 11,the executed run is fully auditable; paper-lock outputs document which results are reused versus recomputed,auditability statement
